mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
8.982868695259095,0.1941017599991092,0.06571841239929199,0.003913964360727245,0.8,500,1,10,0.01,0.3,0.6,"{'model__subsample': 0.8, 'model__n_estimators': 500, 'model__min_child_weight': 1, 'model__max_depth': 10, 'model__learning_rate': 0.01, 'model__gamma': 0.3, 'model__colsample_bytree': 0.6}",0.8666927170002626,0.8178447472882244,0.8580328676811175,0.8708008541446193,0.8698471158874364,0.8747810733080709,0.8490336790797213,0.8460674647451307,0.8852889340037368,0.8426945401115655,0.8581083993249885,0.018642518602122977,21,0.9752850729109209,0.9755965065755646,0.9750852472675456,0.9747164739535017,0.9737264548710078,0.9745758090643545,0.9770074638087051,0.9760496790615472,0.9732328527003261,0.9771099818946605,0.9752385542108133,0.0012026672463922034
0.9726765394210816,0.08001310447571586,0.03536045551300049,0.003779209569566349,0.8,300,1,4,0.01,0.1,0.6,"{'model__subsample': 0.8, 'model__n_estimators': 300, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.7610045492764466,0.6798010350385988,0.7188918322277579,0.7406457421307064,0.7427076279279283,0.7623016560364773,0.723363526674446,0.7198331404340315,0.7440998138598014,0.7422659474801723,0.7334914871086367,0.023016479691428633,30,0.7860318203529569,0.7954041865573444,0.7993547502794124,0.7918161518138294,0.7903261005302806,0.7878649236105528,0.7980977659826237,0.8022419332764696,0.7862911287000351,0.792657330535511,0.7930086091639016,0.005349438476530617
1.8940921783447267,0.16744157326214668,0.04197537899017334,0.005081614153232321,0.8,500,5,4,0.01,0.1,1.0,"{'model__subsample': 0.8, 'model__n_estimators': 500, 'model__min_child_weight': 5, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__gamma': 0.1, 'model__colsample_bytree': 1.0}",0.8095703583905927,0.731420347022985,0.7654384039186766,0.7965466730764235,0.7977630360400672,0.8103581080161535,0.7761266198867385,0.7629533800409543,0.8051702864825816,0.7956430226974792,0.7850990235572652,0.02425118309405479,29,0.8444091827624557,0.8512980897314621,0.8531567677417453,0.8490422142252524,0.8476507705893892,0.8413504279583606,0.8513434551679983,0.8554792575943714,0.8451083936857784,0.8504249439505559,0.8489263503407368,0.00410569208766755
2.503717136383057,0.18654718788261265,0.041498208045959474,0.003202068680431381,0.8,300,5,8,0.01,0.5,0.6,"{'model__subsample': 0.8, 'model__n_estimators': 300, 'model__min_child_weight': 5, 'model__max_depth': 8, 'model__learning_rate': 0.01, 'model__gamma': 0.5, 'model__colsample_bytree': 0.6}",0.8328682190305513,0.7757633455732362,0.8160607598099892,0.8364889714356665,0.8262845782600776,0.8407209677764272,0.8110726130463671,0.8002173348704477,0.8353169823736791,0.818518896406665,0.8193312668583108,0.01892647492762588,28,0.8980627956421696,0.9002675491156125,0.9000343828529395,0.8993633380383255,0.8968292763830795,0.8957728254500581,0.9032622001574855,0.9033803445003219,0.8933855389969635,0.8994237314473631,0.8989781982584318,0.002964193439047835
3.1137048959732057,0.20307850300018368,0.04943170547485352,0.007085847885098259,1.0,1000,3,8,0.1,0.3,0.8,"{'model__subsample': 1.0, 'model__n_estimators': 1000, 'model__min_child_weight': 3, 'model__max_depth': 8, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 0.8}",0.8673927921825845,0.8201110770648985,0.8677500029673613,0.8765620476458782,0.8913318556917308,0.8856429200621567,0.8503261820487814,0.8577486719100862,0.9006772191157425,0.850672114215225,0.8668214882904444,0.022348060011903433,9,0.9926766338879994,0.9920087012127485,0.9921644921959859,0.991817223597283,0.99201925993821,0.9920190371432076,0.9932529291566686,0.9920598370470207,0.9915217571164411,0.9919265847396216,0.9921466456035187,0.0004595188846074258
3.6343633413314818,0.10517543856190958,0.0535658597946167,0.008622237015034865,1.0,800,1,6,0.05,0.3,0.8,"{'model__subsample': 1.0, 'model__n_estimators': 800, 'model__min_child_weight': 1, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__gamma': 0.3, 'model__colsample_bytree': 0.8}",0.8727444656117895,0.8191282903724424,0.8588967946643485,0.8739544844267821,0.8770794547868653,0.8753437650496292,0.8440953168721965,0.8532812125035361,0.8926308488846764,0.8528832371098414,0.8620037870282108,0.019822642836407386,18,0.9828474828378702,0.9822756416598073,0.9830137867745619,0.9825311699003579,0.9839412694660583,0.9814388025337579,0.9836899260434141,0.9831656548456966,0.9825889290381717,0.9833360044123726,0.9828828667512068,0.000688432259406553
2.978932189941406,0.15805629792169318,0.04240407943725586,0.001051213477634526,0.7,500,5,6,0.03,0.0,1.0,"{'model__subsample': 0.7, 'model__n_estimators': 500, 'model__min_child_weight': 5, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.8647835974209882,0.8098466716864381,0.8557056810123249,0.875648923993067,0.8777457061816533,0.8767655781086346,0.8417379130594638,0.8501431411558945,0.8877610100294928,0.858600260100311,0.8598738482748267,0.02144924038955243,19,0.9549395623472469,0.9574918401580904,0.9591996010341141,0.9570583947189599,0.9547959711823047,0.9559810270928705,0.9608066976378744,0.9580806611681627,0.9538036625008699,0.9557073403808121,0.9567864758221305,0.002057070867758716
0.726148533821106,0.059076517934015436,0.03094205856323242,0.0013456081902165347,0.7,300,5,4,0.05,0.1,0.6,"{'model__subsample': 0.7, 'model__n_estimators': 300, 'model__min_child_weight': 5, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.8509660184052272,0.7878668961570459,0.8212077310888132,0.8516528832676447,0.8469144007978104,0.8549332235154365,0.8279003789787256,0.816697627616244,0.8580454939740425,0.8435954370964138,0.8359780090897404,0.02112834006169805,26,0.9122702604701503,0.9156237278616096,0.9168615222957771,0.9120985792819153,0.9120209798478138,0.9087174802718897,0.9161371881939839,0.9167857791264012,0.9105698036455719,0.9160884114674556,0.9137173732462569,0.0027732797628860248
4.252093386650086,0.2986473113647122,0.053538727760314944,0.002179636777483811,1.0,800,5,8,0.1,0.1,0.8,"{'model__subsample': 1.0, 'model__n_estimators': 800, 'model__min_child_weight': 5, 'model__max_depth': 8, 'model__learning_rate': 0.1, 'model__gamma': 0.1, 'model__colsample_bytree': 0.8}",0.8662808310286645,0.8267219790613037,0.8621474036798329,0.8661700291930949,0.8891256220585732,0.8838331504468195,0.8393625436578565,0.8696955844772176,0.8968095071888805,0.8507872113513375,0.8650933862143579,0.02075132637893325,12,0.9947708071370248,0.9943449583122671,0.9943476960629437,0.993614475248258,0.9947036035482185,0.9945606961510014,0.9951897535806828,0.9938319056569551,0.9937439113439402,0.9940432924811812,0.9943151099522474,0.0004806643321949438
6.680955147743225,0.46530652480933554,0.06392638683319092,0.00818637446579173,0.8,800,3,8,0.03,0.0,0.8,"{'model__subsample': 0.8, 'model__n_estimators': 800, 'model__min_child_weight': 3, 'model__max_depth': 8, 'model__learning_rate': 0.03, 'model__gamma': 0, 'model__colsample_bytree': 0.8}",0.8717760220394382,0.8263363690633144,0.8717342969209995,0.8835051855369637,0.8982746199243561,0.8856581415480266,0.8539093994368127,0.8669660145210762,0.9052820597071158,0.8578210015455985,0.8721263110243701,0.02180767874130136,1,0.9892235646895227,0.987053109058477,0.9884287206021989,0.9875955250042188,0.9875524530671651,0.9874792171830873,0.9898847698045244,0.9870467998200234,0.9860431302659742,0.987374716895492,0.9877682006390683,0.001065672738678677
7.58179407119751,0.48681302878598864,0.06346659660339356,0.005016490325785934,0.7,1000,1,6,0.03,0.0,1.0,"{'model__subsample': 0.7, 'model__n_estimators': 1000, 'model__min_child_weight': 1, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.8760214092225436,0.8168518991400637,0.8664201203770162,0.877048309680943,0.8904073804389804,0.8834889034612461,0.8583308194634734,0.8608794337831813,0.9003112684332065,0.8596909548071225,0.8689450498807776,0.02180632616070979,3,0.9873075540712937,0.9877628942125937,0.9890166330800715,0.9871504689403074,0.9872851470351243,0.9876811976242468,0.9885511042322089,0.9869004849501103,0.9868988772169742,0.9882709215657246,0.9876825282928656,0.0006851446799848933
