mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
4.218080472946167,1.7475105910769868,1.3957622289657592,1.4228093841636613,400,2,2,sqrt,30,False,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__bootstrap': False}",0.8235162274981294,0.7874805706033703,0.8124072184376974,0.8249824633519122,0.8229170261259149,0.8432239265258178,0.8104290425429458,0.7856105685380779,0.8240982396325204,0.81558270155595,0.8150247984812335,0.01662296675304328,13,0.9149388886951217,0.9191685922539651,0.9193264304341244,0.9150839548796449,0.9160583884724603,0.91289283632747,0.9234062885633901,0.9203418887058183,0.9134599930785016,0.9154911731112623,0.9170168434521757,0.003206306741251987
45.61210451126099,1.7269305018131227,2.8956875562667848,1.6270538497180915,1200,3,1,0.5,25,False,"{'model__n_estimators': 1200, 'model__min_samples_split': 3, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 25, 'model__bootstrap': False}",0.8694644639672461,0.81435791208611,0.8594436750422612,0.8651169381549154,0.8797274268903723,0.8811235633123573,0.8458183288903799,0.8538401395458073,0.8923297153031812,0.8348835585860455,0.8596105721778675,0.0222446361545159,1,0.9958536902717714,0.9950560559204089,0.9965407777073011,0.9959876267875654,0.9961378851838236,0.9957692712104873,0.9955610293634131,0.9967140548702247,0.9954232557002323,0.9959117340369812,0.9958955381052208,0.0004702286949674776
12.83492112159729,7.406543220836839,6.696080732345581,3.66682185003472,600,5,4,log2,15,True,"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 15, 'model__bootstrap': True}",0.46081784361589717,0.4465033842908832,0.45958659664093604,0.425201835973786,0.4482741409684263,0.4601247868929417,0.4404472867168465,0.4419873299536401,0.4634045669590352,0.4306813556648309,0.4477029127677222,0.012637947951663966,30,0.49476573477018215,0.5102658699890994,0.4792312478297055,0.47400421540039384,0.48072651023131385,0.47672306460214964,0.49674426866710497,0.49511179756331103,0.4930771183006063,0.4708506024747662,0.48715004298286335,0.011975327366832596
1.6105709314346313,0.2479777968478382,0.638393759727478,0.11466639760061766,400,10,4,log2,20,False,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__bootstrap': False}",0.5607905889393292,0.5550465742477868,0.5775817490686307,0.5580727927603618,0.5811538111734215,0.5793000377425926,0.5515567196193162,0.5473279431580054,0.5850781387654654,0.5583143402489874,0.5654222695723896,0.013143755541738576,29,0.606947221924578,0.6234529822413133,0.6080243183584092,0.6114212754266479,0.6155875391566437,0.5979046995745706,0.6024666672222792,0.6263635470451552,0.6236882469793084,0.603841923766472,0.6119698421695378,0.009406095971938007
1.562983512878418,0.24386314784103613,3.2361419677734373,2.391949039488854,400,10,1,sqrt,10,False,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__bootstrap': False}",0.6604511101002593,0.6282598839430926,0.6536518733351164,0.6454927965901951,0.6555821348441282,0.6852566432010736,0.6360962610620744,0.6372681745563973,0.6695561395603642,0.6571475569551385,0.652876257414784,0.01611184490524045,25,0.7064715709463802,0.7168148953577378,0.7188144283844016,0.7058807574123396,0.7106338702830827,0.7110509668911263,0.7223726001446404,0.7299070288063261,0.716656829537969,0.716921596114237,0.7155524543878242,0.006988251896702673
9.02519850730896,1.8182888674477276,2.240674614906311,1.7137270380748713,400,3,2,0.5,15,False,"{'model__n_estimators': 400, 'model__min_samples_split': 3, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 15, 'model__bootstrap': False}",0.8631112156414305,0.8014066791034388,0.8479388268194991,0.8666067351786872,0.8682047596069983,0.8759808938816145,0.826334142667206,0.8526881327788931,0.8865623282321102,0.8442798982120029,0.8533113612121882,0.0237630767354283,4,0.9689759689345853,0.9672029033716257,0.968507905327954,0.9668965010536855,0.9678756091732952,0.9661930849032188,0.9703882804071539,0.9691768977398554,0.9650138486562283,0.969720963346676,0.9679951962914279,0.001590959676210863
3.156954050064087,0.8017689741180064,1.3066022396087646,0.8700814398126526,400,5,2,sqrt,25,False,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 25, 'model__bootstrap': False}",0.8182133863851827,0.7831428403220521,0.8040853952007938,0.8195735090650905,0.8187415819366416,0.8351193295861443,0.8032470707555002,0.7793763445245117,0.8204714917938822,0.8061345800794455,0.8088105529649244,0.01648227362460445,15,0.90366347755763,0.9080555417733894,0.9074064635200636,0.9008566216575253,0.9060288390444373,0.9004953334467829,0.9100039784079434,0.909422215865214,0.9025424760077466,0.9043688541843398,0.9052843801465071,0.0032504868968628257
2.012663149833679,1.0168714390165412,2.307323384284973,1.4347386276776373,200,10,1,sqrt,,False,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__bootstrap': False}",0.8420809782066784,0.8002807605229537,0.8121996250121344,0.8381563841523875,0.8342463965256306,0.8526141046527099,0.8196272530624733,0.7927109169897599,0.8433125856614503,0.8225641699469215,0.82577931747331,0.018693414029561352,9,0.9287703342137812,0.9331851673834749,0.9339243360639972,0.930720719217966,0.9295751376387145,0.9297427021107004,0.9362466327564263,0.9315630819865607,0.9264078943146871,0.9328157649162786,0.9312951770602588,0.002708218868650151
5.162207841873169,0.966960429857743,1.2497629404067994,0.8965320671980899,200,10,4,,,True,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': None, 'model__max_depth': None, 'model__bootstrap': True}",0.8490177700374917,0.7658585112206464,0.8201917368855914,0.848029313221255,0.8270982772132033,0.8418717451005594,0.7902042462609247,0.8142348655268455,0.8500820099842386,0.8220320570110593,0.8228620532461817,0.026145623974085753,11,0.905462287861817,0.9171378344040818,0.9118746014246796,0.908890935641603,0.9091157748443135,0.9082413282915481,0.9109267433690944,0.910376707145171,0.9043654011249613,0.9109244634375115,0.909731607754478,0.003362174901553241
4.34004921913147,1.5813710635340312,0.6817349910736084,0.2910662241406027,600,2,1,log2,15,True,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 15, 'model__bootstrap': True}",0.6359582075872441,0.6192817834602242,0.6358749827303052,0.6315836598481455,0.6321954719962857,0.6546049881026215,0.6225594666353824,0.6141088663640708,0.6492001927354767,0.6210047940361663,0.6316372413495923,0.012362340170400143,27,0.7089993784237585,0.7285743319076861,0.7124681977415075,0.7133036789089068,0.716788139764805,0.712881947902618,0.7254160890237324,0.726616059382905,0.716482679349792,0.7054486407126219,0.7166979143118334,0.007384216145213169
